Material,Stage,Country,Share,t
Cobalt,E,United States,0.4%,1.0
Coking coal,E,United States,5.9%,1.0
Coking coal,P,United States,2.2%,1.0
Copper,E,United States,6.2%,1.0
Copper,P,United States,4.5%,1.0
Diatomite,E,United States,36.3%,1.0
Erbium,E,United States,9.2%,1.0
Europium,E,United States,9.2%,1.0
Feldspar,E,United States,1.5%,1.0
Gadolinium,E,United States,9.2%,1.0
Germanium,P,United States,2.0%,1.0
Gold,E,United States,6.6%,1.0
Gypsum,E,United States,13.2%,1.0
Hafnium,P,United States,43.7%,1.0
Helium,P,United States,55.8%,1.0
Holmium,E,United States,9.2%,1.0
Hydrogen,E,United States,22.2%,1.0
Iron ore,E,United States,1.9%,1.0
Iron ore,P,United States,4.6%,1.0
Kaolin,E,United States,3.2%,1.0
Kaolin,P,United States,30.7%,1.0
Krypton,P,United States,9%,1.0
Lanthanum,E,United States,9.2%,1.0
Lead,E,United States,6.4%,1.0
Lead,P,United States,9.5%,1.0
Lithium,E,United States,0.9%,1.0
Lithium,P,United States,1.2%,1.0
Lutetium,E,United States,9.2%,1.0
Magnesite,E,United States,1.0%,1.0
Magnesium,P,United States,3.4%,1.0
Manganese,P,United States,<0.1%,1.0
Molybdenum,E,United States,15.4%,1.0
Neodymium,E,United States,9.2%,1.0
Neon,P,United States,46.6%,1.0
Nickel,E,United States,0.8%,1.0
Palladium,P,United States,6.6%,1.0
Perlite,E,United States,11.2%,1.0
Phosphate Rock,E,United States,9.5%,1.0
Phosphorous,P,United States,10.6%,1.0
Platinum,P,United States,2.2%,1.0
Potash,E,United States,1.2%,1.0
Praseodymium,E,United States,9.2%,1.0
Rhenium,P,United States,19.2%,1.0
Rhodium,P,United States,0.4%,1.0
Roundwood,E,United States,18%,1.0
Samarium,E,United States,9.2%,1.0
Selenium,P,United States,3.7%,1.0
Silica sand,E,United States,41.0%,1.0
Silicon metal,P,United States,1.2%,1.0
Silver,E,United States,3.7%,1.0
Sulphur,P,United States,11.5%,1.0
Talc,E,United States,8.1%,1.0
Tellurium,P,United States,1%,1.0
Thulium,E,United States,9.2%,1.0
Titanium,E,United States,1.1%,1.0
Titanium,P,United States,13.9%,1.0
Titanium metal,E,United States,1.1%,1.0
Tungsten,P,United States,4.4%,1.0
Vanadium,E,United States,0.1%,1.0
Ytterbium,E,United States,9.2%,1.0
Yttrium,E,United States,9.2%,1.0
Zinc,E,United States,6.4%,1.0
Zinc,P,United States,1.0%,1.0
Zirconium,E,United States,3.6%,1.0
Antimony,P,Uruguay,<0.1%,1.0
Bentonite,E,Uruguay,<0.1%,1.0
Feldspar,E,Uruguay,<0.1%,1.0
Gold,E,Uruguay,<0.1%,1.0
Iron ore,E,Uruguay,<0.1%,1.0
Iron ore,P,Uruguay,<0.1%,1.0
Roundwood,E,Uruguay,1%,1.0
Talc,E,Uruguay,<0.1%,1.0
Cadmium,P,Uzbekistan,1.2%,1.0
Copper,E,Uzbekistan,0.6%,1.0
Copper,P,Uzbekistan,0.5%,1.0
Gold,E,Uzbekistan,3.0%,1.0
Gypsum,E,Uzbekistan,0.1%,1.0
Hydrogen,E,Uzbekistan,1.5%,1.0
Iron ore,P,Uzbekistan,<0.1%,1.0
Kaolin,P,Uzbekistan,1.2%,1.0
Lead,E,Uzbekistan,0.5%,1.0
Molybdenum,E,Uzbekistan,0.3%,1.0
Palladium,P,Uzbekistan,<0.1%,1.0
Phosphate Rock,E,Uzbekistan,0.2%,1.0
Potash,E,Uzbekistan,0.4%,1.0
Rhenium,P,Uzbekistan,1.6%,1.0
Selenium,P,Uzbekistan,0.7%,1.0
Silver,E,Uzbekistan,0.7%,1.0
Tellurium,P,Uzbekistan,0.3%,1.0
Tungsten,E,Uzbekistan,0.1%,1.0
Zinc,E,Uzbekistan,0.3%,1.0
Zinc,P,Uzbekistan,0.5%,1.0
Aluminium,E,Venezuela,<0.1%,1.0
Aluminium,P,Venezuela,0.1%,1.0
Feldspar,E,Venezuela,0.1%,1.0
Gold,E,Venezuela,0.2%,1.0
Hydrogen,E,Venezuela,0.8%,1.0
Iron ore,E,Venezuela,0.2%,1.0
Iron ore,P,Venezuela,<0.1%,1.0
Kaolin,E,Venezuela,<0.1%,1.0
Kaolin,P,Venezuela,<0.1%,1.0
Lead,P,Venezuela,0.1%,1.0
Manganese,P,Venezuela,0.1%,1.0
Phosphate Rock,E,Venezuela,<0.1%,1.0
Silica sand,E,Venezuela,<0.1%,1.0
Sulphur,P,Venezuela,0.7%,1.0
Aluminium,E,Vietnam,0.9%,1.0
Antimony,E,Vietnam,0.2%,1.0
Antimony,P,Vietnam,6.4%,1.0
Barytes,E,Vietnam,0.7%,1.1
Bismuth,P,Vietnam,8%,1.0
Cerium,E,Vietnam,0.4%,1.0
Cerium,P,Vietnam,1.0%,1.0
Cobalt,E,Vietnam,<0.1%,1.0
Coking coal,E,Vietnam,<0.1%,1.0
Coking coal,P,Vietnam,0.3%,1.0
Copper,E,Vietnam,0.1%,1.0
Copper,P,Vietnam,0.1%,1.0
Dysprosium,E,Vietnam,0.5%,1.0
Erbium,E,Vietnam,0.4%,1.0
Europium,E,Vietnam,0.4%,1.0
Fluorspar,E,Vietnam,3.4%,1.0
Gadolinium,E,Vietnam,0.4%,1.0
Gold,E,Vietnam,<0.1%,1.0
Holmium,E,Vietnam,0.4%,1.0
Hydrogen,E,Vietnam,0.3%,1.0
Iron ore,E,Vietnam,0.2%,1.0
Iron ore,P,Vietnam,0.8%,1.0
Kaolin,E,Vietnam,<0.1%,1.0
Lanthanum,E,Vietnam,0.4%,1.0
Lanthanum,P,Vietnam,1.0%,1.0
Lead,E,Vietnam,0.2%,1.0
Lead,P,Vietnam,0.3%,1.0
Lutetium,E,Vietnam,0.4%,1.0
Manganese,E,Vietnam,0.6%,1.0
Natural Graphite,E,Vietnam,0.2%,1.0
Natural rubber,E,Vietnam,7.8%,1.0
Neodymium,E,Vietnam,0.4%,1.0
Neodymium,P,Vietnam,1.0%,1.0
Nickel,E,Vietnam,<0.1%,1.0
Phosphate Rock,E,Vietnam,1.7%,1.0
Phosphorous,P,Vietnam,4.5%,1.0
Praseodymium,P,Vietnam,1.0%,1.0
Praseodymium,E,Vietnam,0.4%,1.0
Roundwood,E,Vietnam,2%,1.0
Samarium,E,Vietnam,0.4%,1.0
Samarium,P,Vietnam,1.0%,1.0
Terbium,E,Vietnam,0.5%,1.0
Thulium,E,Vietnam,0.4%,1.0
Tin,E,Vietnam,1.9%,1.0
Tin,P,Vietnam,1.5%,1.0
Titanium,E,Vietnam,1.5%,1.0
Titanium metal,E,Vietnam,1.5%,1.0
Tungsten,E,Vietnam,6.4%,1.2
Tungsten,P,Vietnam,2.8%,1.1
Vanadium,P,Vietnam,0.8%,1.0
Ytterbium,E,Vietnam,0.4%,1.0
Yttrium,E,Vietnam,0.4%,1.0
Zinc,E,Vietnam,0.1%,1.0
Zinc,P,Vietnam,0.1%,1.0
Zirconium,E,Vietnam,0.6%,1.0
Gypsum,E,Yemen,<0.1%,1.0
Hydrogen,E,Yemen,<0.1%,1.0
Cobalt,E,Zambia,1.7%,1.1
Cobalt,P,Zambia,1.7%,1.0
Copper,E,Zambia,4.0%,1.1
Copper,P,Zambia,1.7%,1.0
Gold,E,Zambia,0.1%,1.0
Lead,P,Zambia,<0.1%,1.0
Manganese,E,Zambia,0.1%,1.0
Manganese,P,Zambia,<0.1%,1.0
Nickel,E,Zambia,0.1%,1.0
Sulphur,P,Zambia,1.0%,1.0
Zinc,E,Zambia,<0.1%,1.0
Chromium,E,Zimbabwe,2.3%,1.0
Chromium,P,Zimbabwe,1.1%,1.0
Cobalt,E,Zimbabwe,0.4%,1.0
Coking coal,E,Zimbabwe,<0.1%,1.0
Copper,E,Zimbabwe,<0.1%,1.0
Copper,P,Zimbabwe,<0.1%,1.0
Gold,E,Zimbabwe,0.8%,1.0
Iridium,P,Zimbabwe,4.9%,1.0
Iron ore,P,Zimbabwe,<0.1%,1.0
Lithium,E,Zimbabwe,1.3%,1.0
Natural Graphite,E,Zimbabwe,0.1%,1.0
Nickel,E,Zimbabwe,0.7%,1.0
Nickel,P,Zimbabwe,0.3%,1.0
Palladium,P,Zimbabwe,5.7%,1.0
Phosphate Rock,E,Zimbabwe,<0.1%,1.0
Platinum,P,Zimbabwe,8.0%,1.0
Rhodium,P,Zimbabwe,5.7%,1.0
Ruthenium,P,Zimbabwe,4.9%,1.0
Tungsten,E,Zimbabwe,<0.1%,1.0
